Country,League,Season,Date,Time,Home,Away,HG,AG,Res,Number
USA,MLS,2019,2/6/2019,1:30,Colorado Rapids,FC Cincinnati,3,1,H,177
USA,MLS,2019,2/6/2019,1:30,Houston Dynamo,Sporting Kansas City,1,1,D,178
USA,MLS,2019,2/6/2019,3:30,Portland Timbers,Los Angeles FC,2,3,A,179
USA,MLS,2019,2/6/2019,21:00,Minnesota United,Philadelphia Union,2,3,A,180
USA,MLS,2019,3/6/2019,3:30,Los Angeles Galaxy,New England Revolution,1,2,A,181
USA,MLS,2019,6/6/2019, 00:30,Montreal Impact,Seattle Sounders,2,1,H,182
USA,MLS,2019,7/6/2019, 00:00,New York City,FC Cincinnati,5,2,H,183
USA,MLS,2019,8/6/2019,0:00,Toronto FC,Sporting Kansas City,2,2,D,184
USA,MLS,2019,8/6/2019,20:30,San Jose Earthquakes,FC Dallas,2,2,D,185
USA,MLS,2019,9/6/2019,0:30,Philadelphia Union,New York Red Bulls,3,2,H,186
USA,MLS,2019,9/6/2019,2:00,Colorado Rapids,Minnesota United,1,0,H,187
USA,MLS,2019,23/06/2019,0:30,FC Cincinnati,Los Angeles Galaxy,0,2,A,188
USA,MLS,2019,23/06/2019,1:00,Chicago Fire,Real Salt Lake,1,1,D,189
USA,MLS,2019,23/06/2019,1:00,FC Dallas,Toronto FC,3,0,H,190
USA,MLS,2019,23/06/2019,3:00,Vancouver Whitecaps,Colorado Rapids,2,2,D,191
USA,MLS,2019,23/06/2019,4:00,Portland Timbers,Houston Dynamo,4,0,H,192
USA,MLS,2019,23/06/2019,22:30,Columbus Crew,Sporting Kansas City,0,1,A,193
USA,MLS,2019,27/06/2019,0:00,New England Revolution,Philadelphia Union,1,1,D,194
USA,MLS,2019,27/06/2019,0:30,Montreal Impact,Portland Timbers,2,1,H,195
USA,MLS,2019,27/06/2019,1:00,DC United,Orlando City,1,0,H,196
USA,MLS,2019,27/06/2019,1:00,Toronto FC,Atlanta United,3,2,H,197
USA,MLS,2019,27/06/2019,2:00,FC Dallas,Vancouver Whitecaps,2,2,D,198
USA,MLS,2019,27/06/2019,3:30,San Jose Earthquakes,Houston Dynamo,2,0,H,199
USA,MLS,2019,29/06/2019,1:00,New York Red Bulls,Chicago Fire,3,1,H,200
USA,MLS,2019,29/06/2019,3:00,Colorado Rapids,Los Angeles FC,1,0,H,201
USA,MLS,2019,29/06/2019,21:00,Minnesota United,FC Cincinnati,7,1,H,202
USA,MLS,2019,29/06/2019,23:00,Atlanta United,Montreal Impact,2,1,H,203
USA,MLS,2019,30/06/2019,0:00,New York City,Philadelphia Union,4,2,H,204
USA,MLS,2019,30/06/2019,0:30,Columbus Crew,Orlando City,0,2,A,205
USA,MLS,2019,30/06/2019,0:30,New England Revolution,Houston Dynamo,2,1,H,206
USA,MLS,2019,30/06/2019,1:00,DC United,Toronto FC,1,1,D,207
USA,MLS,2019,30/06/2019,3:00,Real Salt Lake,Sporting Kansas City,2,0,H,208
USA,MLS,2019,30/06/2019,3:00,San Jose Earthquakes,Los Angeles Galaxy,3,0,H,209
USA,MLS,2019,30/06/2019,3:00,Seattle Sounders,Vancouver Whitecaps,1,0,H,210
USA,MLS,2019,1/7/2019,4:00,Portland Timbers,FC Dallas,1,0,H,211
USA,MLS,2019,4/7/2019,0:00,New York City,Seattle Sounders,3,0,H,212
USA,MLS,2019,4/7/2019,0:30,Orlando City,Philadelphia Union,1,3,A,213
USA,MLS,2019,4/7/2019,1:00,Chicago Fire,Atlanta United,5,1,H,214
USA,MLS,2019,4/7/2019,1:00,Minnesota United,San Jose Earthquakes,3,1,H,215
USA,MLS,2019,4/7/2019,1:30,Sporting Kansas City,Los Angeles FC,1,5,A,216
USA,MLS,2019,4/7/2019,2:00,Houston Dynamo,New York Red Bulls,4,0,H,217
USA,MLS,2019,4/7/2019,3:00,Real Salt Lake,Columbus Crew,1,0,H,218
USA,MLS,2019,5/7/2019,2:00,Colorado Rapids,New England Revolution,1,2,A,219
USA,MLS,2019,5/7/2019,2:00,FC Dallas,DC United,2,0,H,220
USA,MLS,2019,5/7/2019,3:30,Los Angeles Galaxy,Toronto FC,2,0,H,221
USA,MLS,2019,7/7/2019,0:30,Columbus Crew,Seattle Sounders,1,2,A,222
USA,MLS,2019,7/7/2019,0:30,FC Cincinnati,Houston Dynamo,3,2,H,223
USA,MLS,2019,7/7/2019,0:30,Montreal Impact,Minnesota United,2,3,A,224
USA,MLS,2019,7/7/2019,1:40,Sporting Kansas City,Chicago Fire,1,0,H,225
USA,MLS,2019,7/7/2019,3:30,Los Angeles FC,Vancouver Whitecaps,6,1,H,226
USA,MLS,2019,7/7/2019,3:30,San Jose Earthquakes,Real Salt Lake,1,0,H,227
USA,MLS,2019,7/7/2019,19:00,Atlanta United,New York Red Bulls,3,3,D,228
USA,MLS,2019,7/7/2019,21:30,Philadelphia Union,Orlando City,2,2,D,229
USA,MLS,2019,7/7/2019,23:30,New York City,Portland Timbers,0,1,A,230
USA,MLS,2019,13/07/2019,0:00,DC United,New England Revolution,2,2,D,231
USA,MLS,2019,13/07/2019,2:00,Houston Dynamo,Los Angeles FC,1,3,A,232
USA,MLS,2019,13/07/2019,4:00,Los Angeles Galaxy,San Jose Earthquakes,1,3,A,233
USA,MLS,2019,14/07/2019,0:30,Montreal Impact,Toronto FC,0,2,A,234
USA,MLS,2019,14/07/2019,0:30,Orlando City,Columbus Crew,1,0,H,235
USA,MLS,2019,14/07/2019,1:00,Chicago Fire,FC Cincinnati,1,2,A,236
USA,MLS,2019,14/07/2019,1:00,Minnesota United,FC Dallas,1,0,H,237
USA,MLS,2019,14/07/2019,3:00,Real Salt Lake,Philadelphia Union,4,0,H,238
USA,MLS,2019,14/07/2019,3:00,Vancouver Whitecaps,Sporting Kansas City,0,3,A,239
USA,MLS,2019,14/07/2019,4:00,Portland Timbers,Colorado Rapids,2,2,D,240
USA,MLS,2019,14/07/2019,20:55,Seattle Sounders,Atlanta United,2,1,H,241
USA,MLS,2019,14/07/2019,23:30,New York Red Bulls,New York City,2,1,H,242
USA,MLS,2019,18/07/2019,0:00,Atlanta United,Houston Dynamo,5,0,H,243
USA,MLS,2019,18/07/2019,0:00,New England Revolution,Vancouver Whitecaps,4,0,H,244
USA,MLS,2019,18/07/2019,1:00,Chicago Fire,Columbus Crew,2,2,D,245
USA,MLS,2019,18/07/2019,1:00,Toronto FC,New York Red Bulls,3,1,H,246
USA,MLS,2019,19/07/2019,1:00,FC Cincinnati,DC United,1,4,A,247
USA,MLS,2019,19/07/2019,3:00,Portland Timbers,Orlando City,1,1,D,248
USA,MLS,2019,20/07/2019,3:00,Los Angeles Galaxy,Los Angeles FC,3,2,H,249
USA,MLS,2019,21/07/2019,0:30,Columbus Crew,Montreal Impact,2,1,H,250
USA,MLS,2019,21/07/2019,0:30,Philadelphia Union,Chicago Fire,2,0,H,251
USA,MLS,2019,21/07/2019,0:30,Toronto FC,Houston Dynamo,1,3,A,252
USA,MLS,2019,21/07/2019,1:30,Sporting Kansas City,FC Dallas,0,2,A,253
USA,MLS,2019,21/07/2019,2:00,Colorado Rapids,New York City,1,2,A,254
USA,MLS,2019,21/07/2019,3:00,Real Salt Lake,Minnesota United,1,1,D,255
USA,MLS,2019,21/07/2019,3:00,Vancouver Whitecaps,San Jose Earthquakes,1,3,A,256
USA,MLS,2019,21/07/2019,21:00,Atlanta United,DC United,2,0,H,257
USA,MLS,2019,21/07/2019,23:00,FC Cincinnati,New England Revolution,0,2,A,258
USA,MLS,2019,22/07/2019,0:30,Orlando City,New York Red Bulls,0,1,A,259
USA,MLS,2019,22/07/2019,2:30,Seattle Sounders,Portland Timbers,1,2,A,260
USA,MLS,2019,27/07/2019,0:30,New York City,Sporting Kansas City,3,1,H,261
USA,MLS,2019,27/07/2019,3:00,Los Angeles FC,Atlanta United,4,3,H,262
USA,MLS,2019,28/07/2019,0:00,New England Revolution,Orlando City,4,1,H,263
USA,MLS,2019,28/07/2019,0:30,New York Red Bulls,Columbus Crew,2,3,A,264
USA,MLS,2019,28/07/2019,1:00,Chicago Fire,DC United,0,0,D,265
USA,MLS,2019,28/07/2019,1:00,FC Dallas,Real Salt Lake,0,0,D,266
USA,MLS,2019,28/07/2019,1:00,Houston Dynamo,Seattle Sounders,0,1,A,267
USA,MLS,2019,28/07/2019,1:00,Minnesota United,Vancouver Whitecaps,0,0,D,268
USA,MLS,2019,28/07/2019,1:00,Montreal Impact,Philadelphia Union,4,0,H,269
USA,MLS,2019,28/07/2019,1:00,Toronto FC,FC Cincinnati,2,1,H,270
USA,MLS,2019,28/07/2019,3:00,San Jose Earthquakes,Colorado Rapids,3,1,H,271
USA,MLS,2019,28/07/2019,3:30,Portland Timbers,Los Angeles Galaxy,4,0,H,272
USA,MLS,2019,3/8/2019,22:00,Atlanta United,Los Angeles Galaxy,3,0,H,273
USA,MLS,2019,3/8/2019,23:00,New York Red Bulls,Toronto FC,2,0,H,274
USA,MLS,2019,4/8/2019,0:30,New England Revolution,Los Angeles FC,0,2,A,275
USA,MLS,2019,4/8/2019,0:30,Orlando City,FC Dallas,2,0,H,276
USA,MLS,2019,4/8/2019,1:00,FC Cincinnati,Vancouver Whitecaps,1,2,A,277
USA,MLS,2019,4/8/2019,2:00,Colorado Rapids,Montreal Impact,6,3,H,278
USA,MLS,2019,4/8/2019,2:00,Houston Dynamo,Chicago Fire,0,1,A,279
USA,MLS,2019,4/8/2019,3:00,Real Salt Lake,New York City,3,1,H,280
USA,MLS,2019,4/8/2019,3:00,San Jose Earthquakes,Columbus Crew,1,1,D,281
USA,MLS,2019,4/8/2019,21:00,Minnesota United,Portland Timbers,1,0,H,282
USA,MLS,2019,5/8/2019,0:30,DC United,Philadelphia Union,1,5,A,283
USA,MLS,2019,5/8/2019,3:00,Seattle Sounders,Sporting Kansas City,2,3,A,284
USA,MLS,2019,9/8/2019,0:00,New York City,Houston Dynamo,3,2,H,285
USA,MLS,2019,10/8/2019,21:00,Seattle Sounders,New England Revolution,3,3,D,286
USA,MLS,2019,11/8/2019,0:30,Columbus Crew,FC Cincinnati,2,2,D,287
USA,MLS,2019,11/8/2019,0:30,Toronto FC,Orlando City,1,1,D,288
USA,MLS,2019,11/8/2019,1:00,FC Dallas,Minnesota United,5,3,H,289
USA,MLS,2019,11/8/2019,1:30,Sporting Kansas City,Real Salt Lake,1,2,A,290
USA,MLS,2019,11/8/2019,2:00,Chicago Fire,Montreal Impact,3,2,H,291
USA,MLS,2019,11/8/2019,2:00,Colorado Rapids,San Jose Earthquakes,2,1,H,292
USA,MLS,2019,11/8/2019,4:00,Portland Timbers,Vancouver Whitecaps,3,1,H,293
USA,MLS,2019,11/8/2019,20:55,Atlanta United,New York City,2,1,H,294
USA,MLS,2019,11/8/2019,23:00,Philadelphia Union,Houston Dynamo,2,1,H,295
USA,MLS,2019,12/8/2019,0:30,DC United,Los Angeles Galaxy,2,1,H,296
USA,MLS,2019,12/8/2019,3:00,Los Angeles FC,New York Red Bulls,4,2,H,297
USA,MLS,2019,15/08/2019,0:30,Orlando City,Sporting Kansas City,1,0,H,298
USA,MLS,2019,15/08/2019,1:00,Minnesota United,Colorado Rapids,1,0,H,299
USA,MLS,2019,15/08/2019,3:00,Real Salt Lake,Seattle Sounders,3,0,H,300
USA,MLS,2019,15/08/2019,3:30,Los Angeles Galaxy,FC Dallas,2,0,H,301
USA,MLS,2019,15/08/2019,4:00,Portland Timbers,Chicago Fire,3,2,H,302
USA,MLS,2019,18/08/2019,0:00,New York Red Bulls,New England Revolution,1,1,D,303
USA,MLS,2019,18/08/2019,0:30,Columbus Crew,Toronto FC,2,2,D,304
